name,gra,bmf,delta,rel_pct,w,h,pixels,ncomp,gra_bpp,bmf_bpp,delta_bpp,h0_bpp,med_bpp,bmf_over_med,gra_over_med,ct_bpp,ct_keep,ct_ks,ct_refs,eq_w,eq_n,run_mean,dup_rows,nrows,distinct_px,distinct_per_px,top8,corr_bg,corr_gr,corr_br,period_lag,period_corr,planes_free,choice,choice_est,body,est_err_pct,transposed,models,desc
STA13453,9262192,8758720,-503472,-5.436,4095,4095,16769025,3,4.4187,4.1785,-0.2402,20.8391,8.5689,0.4876,0.5157,8.1151,B,,,0.01787,0.01964,1.02,0,4094,3374573,0.2012,0.038,0.526,0.599,0.017,2,0.00575,24,together,8774898.3,8758700,-0.185,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=134 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=218  w=(30,-10)"
STA13454,13797944,14338608,540664,3.918,4000,4000,16000000,3,6.899,7.1693,0.2703,15.5761,10.0137,0.716,0.689,9.6016,B,,,0.02504,0.02752,1.03,0,3999,579635,0.0362,1.858,0.782,0.54,0.174,2,0.00919,24,together,14340853.3,14338588,-0.016,1,"p2,refs+p2","plane 0: slot 1  p2 | plane 1: slot 2  refs+p2   dc=232  w=(-12,45) | plane 2: slot 0  p2"
STA13455,6453857,6586348,132491,2.053,4095,4095,16769025,3,3.0789,3.1421,0.0632,15.8386,5.0112,0.627,0.6144,5.0112,B,,,0.11013,0.11949,1.12,0,4094,937033,0.0559,1.688,0.811,0.701,0.475,2,0.03887,24,together,6601718.3,6586328,-0.233,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=132 | plane 1: slot 2  refs+p2   dc=232  w=(28,34) | plane 2: slot 0  p2"
STA13456,1070622,1104940,34318,3.205,933,700,653100,3,13.1143,13.5347,0.4204,15.8697,15.0219,0.901,0.873,15.0219,B,,,0.00098,0.00145,1.0,0,699,97532,0.1493,0.501,0.75,-0.137,-0.09,2,0.00041,24,planar,1106341.3,1104920,-0.128,1,"p1,p2,refs+p2","plane 0: slot 1  p2 | plane 1: slot 2  refs+p2   dc=255  w=(-64,14) | plane 2: slot 0  p1"
STA13457,7760178,7887244,127066,1.637,3754,3004,11277016,3,5.5051,5.5953,0.0901,15.4723,8.3669,0.6687,0.658,8.3669,B,,,0.02871,0.02955,1.03,7,3003,285616,0.0253,1.962,0.813,0.654,0.699,2,0.01204,24,planar,7893294.3,7887224,-0.077,0,p2,plane 0: slot 0  p2 | plane 1: slot 1  p2 | plane 2: slot 2  p2
STA13458,1953643,1856004,-97639,-4.998,2000,2000,4000000,3,3.9073,3.712,-0.1953,19.5236,9.4413,0.3932,0.4138,6.2308,B,,,0.01714,0.01976,1.02,0,1999,22554,0.0056,0.754,1.0,0.909,0.909,2,0.00603,24,together,1857201.3,1855984,-0.066,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=0  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  p2"
STA13459,6559356,6465560,-93796,-1.43,4095,3234,13243230,3,3.9624,3.9057,-0.0567,20.2712,6.7957,0.5747,0.5831,6.5905,B,,,0.05748,0.05168,1.06,0,3233,1612087,0.1217,0.114,0.557,0.726,0.242,2,0.01682,24,together,6491094.3,6465540,-0.394,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=146 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=186  w=(45,-1)"
STA13771,4893900,4974780,80880,1.653,3016,4106,12383696,3,3.1615,3.2138,0.0522,13.7881,5.412,0.5938,0.5842,5.3288,B,,,0.45065,0.45209,1.82,0,4105,332268,0.0268,45.79,0.818,0.914,0.652,2,0.40533,24,together,4991679.3,4974760,-0.339,0,"p2,refs+p2","plane 0: slot 0  p2 | plane 1: slot 1  refs+p2   dc=183 | plane 2: slot 2  refs+p2   dc=224  w=(5,22)"
STA13781,498303,499648,1345,0.27,800,800,640000,3,6.2288,6.2456,0.0168,19.2948,8.216,0.7602,0.7581,8.0998,G,,,0.02381,0.02653,1.02,0,799,223137,0.3487,1.209,0.794,0.166,0.071,2,0.00933,24,together,501385.3,499628,-0.35,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=157  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  p2"
STA13782,941647,964512,22865,2.428,1100,1100,1210000,3,6.2258,6.3769,0.1512,14.4338,10.2041,0.6249,0.6101,10.2041,B,,,0.03134,0.03118,1.03,0,1099,205701,0.17,7.481,0.915,0.909,0.856,2,0.01617,24,planar,965862.3,964492,-0.142,0,"p1,p2",plane 0: slot 1  p2 | plane 1: slot 2  p2 | plane 2: slot 0  p1
STA13789,2047584,2027860,-19724,-0.963,2400,2400,5760000,3,2.8439,2.8165,-0.0274,15.9779,4.7029,0.5989,0.6047,4.7029,B,,,0.16959,0.1822,1.2,0,2399,503600,0.0874,3.379,0.957,0.844,0.835,2,0.03969,24,planar,2027738.3,2027840,0.005,1,"p1,p2",plane 0: slot 2  p1 | plane 1: slot 0  p1 | plane 2: slot 1  p2
