name,gra,bmf,delta,rel_pct,w,h,pixels,ncomp,gra_bpp,bmf_bpp,delta_bpp,h0_bpp,med_bpp,bmf_over_med,gra_over_med,ct_bpp,ct_keep,ct_ks,ct_refs,eq_w,eq_n,run_mean,dup_rows,nrows,distinct_px,distinct_per_px,top8,corr_bg,corr_gr,corr_br,period_lag,period_corr,planes_free,choice,choice_est,body,est_err_pct,transposed,models,desc
olympus_xz1_02,7905388,8117408,212020,2.682,2760,3680,10156800,3,6.2267,6.3937,0.167,21.4822,8.9629,0.7134,0.6947,7.453,G,,,0.07539,0.08227,1.08,0,3679,207292,0.0204,5.255,0.978,0.965,0.898,2,0.05178,24,together,8290674.3,8117388,-2.09,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=208 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=212  w=(96,-1)"
olympus_xz1_03,8856381,9078448,222067,2.507,2760,3680,10156800,3,6.9757,7.1506,0.1749,21.9303,10.148,0.7046,0.6874,8.242,G,,,0.02919,0.03049,1.03,0,3679,254104,0.025,0.53,0.967,0.954,0.849,2,0.00668,24,together,9222138.3,9078428,-1.558,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=198 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=187  w=(128,-8)"
olympus_xz1_04,8534039,8826200,292161,3.423,2760,3680,10156800,3,6.7218,6.952,0.2301,20.615,10.2604,0.6776,0.6551,8.084,G,,,0.02952,0.03807,1.03,0,3679,117051,0.0115,1.328,0.983,0.991,0.954,2,0.00754,24,together,8844654.3,8826180,-0.209,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=209  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=228"
olympus_xz1_05,8475614,8793396,317782,3.749,2760,3680,10156800,3,6.6758,6.9261,0.2503,21.7226,9.7081,0.7134,0.6877,7.9247,G,,,0.0376,0.03826,1.04,0,3679,154705,0.0152,1.252,0.991,0.993,0.972,2,0.01103,24,together,8793550.3,8793376,-0.002,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=211  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=221"
olympus_xz1_06,8919611,9238260,318649,3.572,3680,2760,10156800,3,7.0255,7.2765,0.251,21.1729,10.5549,0.6894,0.6656,8.3068,G,,,0.03924,0.03458,1.04,0,2759,84427,0.0083,2.469,0.995,0.997,0.988,2,0.01349,24,together,9278578.3,9238240,-0.435,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=208  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=217"
olympus_xz1_07,9002082,9252308,250226,2.78,2760,3680,10156800,3,7.0905,7.2876,0.1971,20.502,10.3825,0.7019,0.6829,8.3358,G,,,0.0241,0.03056,1.02,0,3679,98308,0.0097,0.487,0.989,0.993,0.966,2,0.00486,24,together,9337462.3,9252288,-0.912,1,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=229  w=(126,-5) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=227"
olympus_xz1_08,8446461,8766372,319911,3.788,2760,3680,10156800,3,6.6529,6.9048,0.252,20.3302,9.4366,0.7317,0.705,7.8638,G,,,0.03314,0.03405,1.03,0,3679,163506,0.0161,1.248,0.992,0.98,0.953,2,0.0076,24,together,8803390.3,8766352,-0.421,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=193  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=205"
olympus_xz1_09,9547946,9836896,288950,3.026,2760,3680,10156800,3,7.5204,7.748,0.2276,19.0271,11.2586,0.6882,0.668,8.8617,G,,,0.0293,0.02082,1.03,0,3679,113796,0.0112,0.864,0.988,0.993,0.97,2,0.00575,24,together,9993922.3,9836876,-1.571,0,"p2,refs+p2","plane 0: slot 0  p2 | plane 1: slot 1  refs+p2   dc=178 | plane 2: slot 2  refs+p2   dc=189  w=(0,128)"
olympus_xz1_10,7860065,8150284,290219,3.692,2760,3680,10156800,3,6.191,6.4196,0.2286,17.8741,8.731,0.7353,0.7091,7.3918,G,,,0.04551,0.04681,1.05,0,3679,113055,0.0111,1.206,0.99,0.988,0.968,2,0.01309,24,together,8154782.3,8150264,-0.055,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=202 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=217  w=(128,0)"
olympus_xz1_11,9549387,9823668,274281,2.872,3680,2760,10156800,3,7.5216,7.7376,0.216,19.4854,11.1565,0.6935,0.6742,8.8557,G,,,0.01331,0.02583,1.01,0,2759,144641,0.0142,0.175,0.963,0.953,0.926,2,0.00244,24,together,9842902.3,9823648,-0.196,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=212 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=226  w=(128,0)"
olympus_xz1_12,9818188,10151500,333312,3.395,3680,2760,10156800,3,7.7333,7.9958,0.2625,20.0841,10.9172,0.7324,0.7084,9.1317,G,,,0.02068,0.02191,1.02,0,2759,233043,0.0229,0.803,0.992,0.987,0.978,2,0.00809,24,together,10205322.3,10151480,-0.528,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=200 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=199  w=(130,-8)"
olympus_xz1_13,9399047,9721820,322773,3.434,3680,2760,10156800,3,7.4032,7.6574,0.2542,21.5812,10.4907,0.7299,0.7057,8.6168,G,,,0.02289,0.02157,1.02,0,2759,120949,0.0119,0.411,0.999,0.998,0.995,2,0.00514,24,together,9726126.3,9721800,-0.044,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=230 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=220  w=(128,0)"
olympus_xz1_14,11476957,11769340,292383,2.548,3680,2760,10156800,3,9.0398,9.2701,0.2303,21.7294,11.8974,0.7792,0.7598,10.2656,G,,,0.01084,0.01122,1.01,0,2759,264432,0.026,0.455,0.986,0.989,0.964,2,0.00491,24,together,11998146.3,11769320,-1.907,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=157  w=(-31,174) | plane 1: slot 1  refs+p2   dc=181 | plane 2: slot 0  p2"
olympus_xz1_15,11434021,11724124,290103,2.537,3680,2760,10156800,3,9.006,9.2345,0.2285,21.7602,11.8397,0.78,0.7607,10.3687,G,,,0.00993,0.01004,1.01,0,2759,378864,0.0373,0.403,0.885,0.976,0.819,2,0.00396,24,together,11929562.3,11724104,-1.722,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=102  w=(191,-32) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=175"
olympus_xz1_16,7364246,7621760,257514,3.497,3680,2760,10156800,3,5.8004,6.0033,0.2028,18.743,8.628,0.6958,0.6723,7.3005,G,,,0.08394,0.08468,1.09,0,2759,467186,0.046,9.552,0.977,0.977,0.948,2,0.04208,24,together,7704414.3,7621740,-1.073,1,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=108  w=(128,0) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=136"
olympus_xz1_17,10805002,11090964,285962,2.647,3680,2760,10156800,3,8.5106,8.7358,0.2252,20.8268,11.687,0.7475,0.7282,9.862,G,,,0.01081,0.00992,1.01,0,2759,205538,0.0202,0.211,0.936,0.975,0.849,2,0.00179,24,together,11228314.3,11090944,-1.223,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=204 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=196  w=(131,-14)"
olympus_xz1_18,9018058,9315908,297850,3.303,2760,3680,10156800,3,7.1031,7.3377,0.2346,21.752,10.1094,0.7258,0.7026,8.3791,G,,,0.04746,0.04574,1.05,0,3679,201001,0.0198,2.759,0.994,0.98,0.964,2,0.02819,24,together,9416090.3,9315888,-1.064,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=215 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=235  w=(125,-11)"
olympus_xz1_19,9097338,9423116,325778,3.581,3680,2760,10156800,3,7.1655,7.4221,0.2566,21.193,9.9948,0.7426,0.7169,8.3876,G,,,0.02418,0.02109,1.02,0,2759,193445,0.019,0.205,0.984,0.979,0.938,2,0.00527,24,together,9501618.3,9423096,-0.826,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=143  w=(124,-7) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=220"
olympus_xz1_20,15706428,16046476,340048,2.165,2760,3680,10156800,3,12.3712,12.639,0.2678,21.8635,15.2906,0.8266,0.8091,13.8932,G,,,0.00358,0.00295,1.0,0,3679,705152,0.0694,0.31,0.89,0.963,0.786,2,0.00239,24,together,16064310.3,16046456,-0.111,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=114 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=217  w=(110,-10)"
olympus_xz1_21,16238971,16698800,459829,2.832,2760,3680,10156800,3,12.7906,13.1528,0.3622,19.4251,15.7763,0.8337,0.8108,14.5537,G,,,0.00207,0.00205,1.0,0,3679,416533,0.041,0.739,0.893,0.915,0.785,2,0.00056,24,planar,16702282.3,16698780,-0.021,1,"refs+p2,slow","plane 0: slot 1  refs+p2   dc=180 | plane 1: slot 0  slow | plane 2: slot 2  refs+p2   dc=199  w=(124,-16)"
olympus_xz1_22,15617410,16014328,396918,2.542,2760,3680,10156800,3,12.301,12.6137,0.3126,22.196,15.3715,0.8206,0.8002,14.0025,G,,,0.00162,0.00162,1.0,0,3679,643329,0.0633,0.239,0.934,0.981,0.881,2,0.00033,24,together,16031094.3,16014308,-0.105,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=149 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=205  w=(125,-13)"
olympus_xz1_23,8456200,8759896,303696,3.591,2760,3680,10156800,3,6.6605,6.8997,0.2392,19.4403,9.8045,0.7037,0.6793,8.3861,G,,,0.1181,0.11821,1.13,0,3679,102444,0.0101,10.837,0.999,0.998,0.995,2,0.10321,24,together,8747690.3,8759876,0.139,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=144 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=225  w=(128,0)"
olympus_xz1_24,11267251,11627768,360517,3.2,2760,3680,10156800,3,8.8746,9.1586,0.284,20.0962,11.8803,0.7709,0.747,10.3828,G,,,0.00796,0.00758,1.01,0,3679,115423,0.0114,0.128,0.991,0.983,0.971,2,0.00125,24,together,11679006.3,11627748,-0.439,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=221 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=221  w=(147,-19)"
olympus_xz1_25,11170955,11523704,352749,3.158,3680,2760,10156800,3,8.7988,9.0766,0.2778,20.086,11.8023,0.7691,0.7455,10.1858,G,,,0.00846,0.00807,1.01,0,2759,124403,0.0122,0.211,0.989,0.972,0.945,2,0.00128,24,together,11561198.3,11523684,-0.324,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=222 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=224  w=(136,-12)"
olympus_xz1_26,11439675,11768988,329313,2.879,3680,2760,10156800,3,9.0105,9.2698,0.2594,21.6876,12.0745,0.7677,0.7462,10.3528,G,,,0.00812,0.00721,1.01,0,2759,227211,0.0224,0.107,0.989,0.979,0.946,2,0.00128,24,together,11869042.3,11768968,-0.843,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=118  w=(136,-16) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=105"
olympus_xz1_27,12534003,12891788,357785,2.855,2760,3680,10156800,3,9.8724,10.1542,0.2818,20.5287,13.2433,0.7667,0.7455,11.4536,G,,,0.00467,0.00469,1.0,0,3679,267337,0.0263,0.222,0.997,0.993,0.99,2,0.00067,24,together,12960730.3,12891768,-0.532,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=174  w=(129,-13) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=190"
sony_a55_01,11745358,12000228,254870,2.17,4928,3280,16163840,3,5.8132,5.9393,0.1261,19.897,7.6044,0.781,0.7644,7.0946,G,,,0.0585,0.05588,1.06,0,3279,240336,0.0149,0.949,0.908,0.953,0.759,2,0.02027,24,together,12491002.3,12000208,-3.929,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=174  w=(74,13) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=209"
sony_a55_02,12054895,12282564,227669,1.889,4928,3280,16163840,3,5.9664,6.079,0.1127,19.4152,7.8501,0.7744,0.76,7.2673,G,,,0.05001,0.04753,1.05,0,3279,192674,0.0119,0.913,0.648,0.925,0.321,2,0.01532,24,together,12851994.3,12282544,-4.431,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=230  w=(78,11) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=181"
sony_a55_03,17989004,18409784,420780,2.339,4928,3280,16163840,3,8.9033,9.1116,0.2083,20.7969,10.7831,0.845,0.8257,10.1996,G,,,0.00699,0.00647,1.01,0,3279,335435,0.0208,0.064,0.962,0.965,0.89,2,0.00116,24,together,18623590.3,18409764,-1.148,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=225  w=(91,9) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=182"
sony_a55_04,16424843,16571892,147049,0.895,4928,3280,16163840,3,8.1292,8.202,0.0728,19.8327,11.1636,0.7347,0.7282,10.1008,G,,,0.01959,0.01698,1.02,0,3279,343722,0.0213,1.034,0.785,0.881,0.449,2,0.00615,24,together,17100530.3,16571872,-3.091,1,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=180  w=(87,13) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=183"
sony_a55_05,18476235,18826896,350661,1.898,4928,3280,16163840,3,9.1445,9.318,0.1736,19.3204,10.9459,0.8513,0.8354,10.4607,G,,,0.00608,0.00592,1.01,0,3279,450456,0.0279,0.081,0.94,0.663,0.598,2,0.00108,24,together,19116262.3,18826876,-1.514,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=220  w=(93,6) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=184"
sony_a55_06,11077283,11245828,168545,1.522,3280,4928,16163840,3,5.4825,5.5659,0.0834,19.2322,7.9825,0.6973,0.6868,7.3801,G,,,0.07555,0.08571,1.08,0,4927,492757,0.0305,3.552,0.983,0.984,0.962,2,0.02973,24,together,11834734.3,11245808,-4.976,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=197  w=(63,24) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=117"
sony_a55_07,11291367,11678856,387489,3.432,4928,3280,16163840,3,5.5885,5.7802,0.1918,18.4729,7.1997,0.8028,0.7762,6.8069,G,,,0.05809,0.05584,1.06,0,3279,165933,0.0103,0.937,0.946,0.958,0.833,2,0.01793,23,together,12097262.3,11678836,-3.459,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=213  w=(59,10) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=190"
sony_a55_08,11938059,12322392,384333,3.219,3280,4928,16163840,3,5.9085,6.0987,0.1902,21.5215,7.7254,0.7894,0.7648,7.1595,G,,,0.05437,0.04672,1.06,0,4927,336083,0.0208,0.262,0.963,0.965,0.884,2,0.01568,24,together,12734062.3,12322372,-3.233,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=161  w=(74,13) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=175"
sony_a55_09,12948683,13312588,363905,2.81,4928,3280,16163840,3,6.4087,6.5888,0.1801,19.8372,8.1372,0.8097,0.7876,7.7882,G,,,0.03689,0.03691,1.04,0,3279,679324,0.042,1.8,0.84,0.935,0.7,2,0.01208,24,together,13725562.3,13312568,-3.009,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=144  w=(83,6) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=203"
sony_a55_10,16288609,16535832,247223,1.518,3280,4928,16163840,3,8.0618,8.1841,0.1224,20.3759,9.8327,0.8323,0.8199,9.4768,G,,,0.01276,0.01272,1.01,0,4927,1371911,0.0849,0.184,0.753,0.605,0.774,2,0.00272,24,together,17004718.3,16535812,-2.758,0,"p2,refs+p2","plane 0: slot 2  refs+p2   dc=117  w=(80,15) | plane 1: slot 0  p2 | plane 2: slot 1  refs+p2   dc=204"
sony_a55_11,31196405,31396828,200423,0.642,4928,3280,16163840,3,15.4401,15.5393,0.0992,19.7532,17.1765,0.9047,0.8989,17.0432,G,,,0.00073,0.00072,1.0,0,3279,1026564,0.0635,0.291,0.495,0.646,0.468,2,0.00014,24,together,31965506.3,31396808,-1.779,0,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=147 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=168  w=(76,10)"
sony_a55_15,13067896,13220744,152848,1.17,3280,4928,16163840,3,6.4677,6.5434,0.0756,20.7271,9.1743,0.7132,0.705,8.2245,G,,,0.03439,0.03399,1.04,0,4927,544262,0.0337,0.207,0.962,0.971,0.899,2,0.00913,24,together,13733442.3,13220724,-3.733,1,"p2,refs+p2","plane 0: slot 1  refs+p2   dc=159 | plane 1: slot 0  p2 | plane 2: slot 2  refs+p2   dc=132  w=(78,21)"
