  193,  100,17675
    1,    5, 3435
   17,    4, 1327
    8,    3,   90
   94,    2, 1178
   94,    2, 2681
   16,   13,  527
   83,   26, 1214
   84,    3, 1182
   57,    1, 3901
  114,    9, 2114
   79,   10, 2409
  106,   36,  260
   69,   94,  682
   83,    7, 1524
   83,   14, 2160
  101,   15, 5904
  113,   71, 7123
  108,   50, 1089
  125,   18, 1352
  116,   39, 1586
   24,   20, 4154
    9,   21, 5891
   24,   96, 6681
    0,  106,10169
   22,    8,  268
   83,   11, 3830
   36,   25,  331
   35,   31,  286
  106,   28,  303
    9,   66,  399
   58,   12,  179
  110,   32,  656
  110,   32, 1125
  118,   33, 1040
   33,  102, 5285
  104,   27,  382
   32,   29,  320
   23,    6,  648
  116,   93, 2300
   75,   34, 1042
  143,  113, 5699
  110,   55, 1025
  110,   46, 1118
  108,   65, 1527
  117,   42, 1080
  124,   45, 1215
  117,   44, 1452
  118,   59, 1700
  117,   73, 1796
  117,   60,  926
  117,   56, 1541
  118,   43, 1280
  110,   63, 1276
  118,   47, 1304
  110,   40, 1044
  117,   57, 1695
  108,   61, 1698
  117,   49, 1754
  117,   51, 1708
  108,   38,  702
  108,   67, 1711
  144,   19, 1876
  118,   52, 1080
  118,   53, 1257
  118,   64, 1257
   56,   68,  407
  118,   54, 1393
  120,   72,  387
  124,   58, 1892
  124,   74, 2048
   99,   16,  910
   32,   37,  311
  124,   48, 1828
  124,   69, 1880
  121,   76, 2230
  121,   77, 2193
  124,   70, 2032
  131,   62, 2758
  230,   14, 6554
  135,   41, 1365
  104,   82, 2712
  126,   92, 2664
    4,   97, 2979
  121,   75, 2800
  122,   81, 2685
  122,   87, 3034
  122,   88, 2924
  122,   85, 2786
  126,   75, 2329
  121,    8,    1
  122,   86, 3268
  104,   89, 2572
   93,   19, 3332
   95,   30,  525
  122,   91, 3308
   38,   22, 5041
  122,   95, 3684
  132,  107, 5863
  122,   97, 3822
  171,   78, 4471
  122,   99, 4314
  139,   80, 1311
  132,  105, 6712
  125,  107, 4788
  132,   98, 6359
  105,  101, 9125
  125,  101, 4783
  121,   99, 3836
  128,  112, 7556
  154,   84, 4300
  130,  109, 8550
  132,  103, 7075
  136,    6, 3390
  130,  111, 9038
  125,  104, 5360
  172,  110,12363
  154,   97, 3739
  154,   95, 3145
  130,  109, 8008
  137,  114, 9592
  154,  108, 5877
  138,  115, 5932
  137,  120,10327
  154,  108, 4246
  138,  115, 7357
  138,  101, 4512
  143,  123,13454
  137,  123,10562
  137,  128,11662
  142,  128,11464
  175,  136,14981
  142,  119, 9503
  172,  116,16601
  148,  127,14324
  148,  134,15238
  150,  132, 9871
  143,  129,12966
  147,  119,10522
  153,  133,15853
  158,  134,17732
  149,  135,16358
  153,  128,12984
  149,  137,14717
  142,  120,13233
  157,  141,    1
  173,  133,23085
  164,  132,14785
  149,  141,16969
  159,  141,17499
  155,  140,19737
  166,  139,18772
  158,  141,18706
  166,  130,15986
  179,  122, 8781
  167,  150,21660
  174,  150,21826
  165,  150,21367
  161,  152,19953
  161,  148,18639
  175,  151,21881
  167,  152,20465
  174,  150,22136
  186,  160,24938
  181,  138,18026
  176,  158,22344
  180,  150,22763
  165,  158,21673
  200,  133,28067
  184,  160,25121
  184,  146,    1
  202,  133,21204
  183,  151,22756
  188,  160,26581
  176,  157,23377
  180,  155,23914
  175,  161,23211
  189,  146,26074
  195,  146,28384
  198,  133,28453
  185,  156,24491
  179,  138,21193
  189,  160,25838
  195,  160,26102
  189,  174,25668
  184,  162,24956
  184,  169,25948
  189,  147,    1
  191,  163,26953
  188,  166,26556
  191,  146,27307
  192,  169,27497
  194,  163,27835
  201,  138,28607
  196,  182,28311
  200,  177,28812
  197,  182,28466
  195,  169,28570
  238,  146,30164
  202,  177,29460
  199,  190,29219
  210,  160,30329
  203,  177,29227
  205,  190,29506
  211,  190,30024
  206,  190,29759
  204,  192,30000
  208,  190,30334
  212,  173,30412
  214,  178,30489
  249,  171,31221
  207,  190,30249
  209,  190,30427
  217,  195,30790
  216,  190,30642
  213,  168,30763
  215,  190,30621
  219,  183,30976
  245,  249,    1
  231,  178,31112
  242,  168,31733
  232,  168,31970
  233,  178,31139
  229,  168,31650
  239,  171,31373
  254,  215,    1
  243,  168,31243
  222,  168,31081
  237,  195,31160
  236,  190,31617
  227,  196,31218
  230,  178,31038
  241,  168,31901
  228,  195,31283
  235,  168,31519
  223,  178,31508
  240,  168,31752
  238,  190,31314
  224,  168,31086
  226,  171,31148
  220,  171,31747
  244,  168,31935
  221,  168,31829
  234,  168,31140
  247,  168,32011
  250,  179,    1
  225,  183,    1
  248,  179,31921
  248,  179,32459
  253,  169,31351
  246,  189,    1
  252,  179,32715
  251,  226,32722
  251,  239,31830
  249,  223,    1
  252,  237,    1
